entrezid1	entrezid2
7020	115950
7020	51201
7020	79683
7020	115825
7020	7423
7020	10090
7020	9706
7020	55585
7020	27175
7020	81603
7020	91978
7020	399474
7020	7039
7020	7020
7020	7014
7020	6903
7020	9066
7020	6613
7020	6780
7020	57522
7020	8877
7020	6654
7020	26821
7020	724102
7020	6609
7020	4092
7020	6498
7020	6472
7020	23678
7020	29946
7020	5054
7020	6385
7020	51282
7020	58506
7020	6237
7020	6051
7020	127544
7020	9401
7020	5743
7020	5730
7020	5621
7020	29964
7020	5493
7020	5424
7020	1263
7020	84069
7020	5326
7020	8396
7020	5252
7020	5209
7020	8504
7020	5179
7020	5160
7020	5090
7020	142
7020	5036
7020	4953
7020	2908
7020	1728
7020	4763
7020	4641
7020	80198
7020	4552
7020	4524
7020	4350
7020	10933
7020	4212
7020	9782
7020	4140
7020	4139
7020	4137
7020	260425
7020	27257
7020	4026
7020	3977
7020	9355
7020	3852
7020	3872
7020	3801
7020	3796
7020	22992
7020	3688
7020	3673
7020	3659
7020	3622
7020	3480
7020	3459
7020	3228
7020	3205
7020	3162
7020	3092
7020	23462
7020	9759
7020	2992
7020	2990
7020	2980
7020	55890
7020	56834
7020	54856
7020	2746
7020	390637
7020	2624
7020	7855
7020	752
7020	2314
7020	24147
7020	26190
7020	355
7020	9679
7020	11336
7020	2036
7020	2033
7020	2022
7020	2006
7020	2002
7020	163126
7020	1829
7020	23333
7020	1655
7020	1499
7020	1487
7020	10488
7020	1382
7020	4848
7020	6249
7020	9620
7020	51265
7020	682
7020	57673
7020	602
7020	593
7020	7917
7020	9530
7020	9334
7020	489
7020	476
7020	1386
7020	411
7020	201176
7020	124930
7020	118
7020	2181
7020	65057
7020	23527
7020	9625
6778	9021
6778	8835
6777	5292
6777	896
6777	595
6777	604
6776	5292
6776	896
6776	894
6776	595
6775	9021
6775	8835
6775	5292
6775	4609
6775	3659
6774	7432
6774	7422
6774	7124
6774	8835
6774	8651
6774	5292
6774	5008
6774	4609
6774	3725
6774	3659
6774	2209
6774	896
6774	595
6774	6347
6774	598
6773	9021
6773	8835
6772	7432
6772	7157
6772	8835
6772	5698
6772	5292
6772	4609
6772	3725
6772	3659
6772	2209
6772	6347
6772	604
6722	57688
6722	84146
6722	6935
6722	100128025
6722	7429
6722	7168
6722	7090
6722	6876
6722	10474
6722	25777
6722	8677
6722	5763
6722	100885850
6722	100885848
6722	5620
6722	5619
6722	5478
6722	5355
6722	64857
6722	5209
6722	10611
6722	128506
6722	2063
6722	7026
6722	266743
6722	4862
6722	4780
6722	4643
6722	10398
6722	91663
6722	23787
6722	92399
6722	4170
6722	9261
6722	339929
6722	4026
6722	606724
6722	55614
6722	3757
6722	3726
6722	64207
6722	100133311
6722	3176
6722	2870
6722	10912
6722	27086
6722	11259
6722	1960
6722	1959
6722	1958
6722	1847
6722	1844
6722	160851
6722	5476
6722	1465
6722	10488
6722	1072
6722	57124
6722	92291
6722	467
6722	51676
6722	23237
6722	9590
6722	71
6722	60
6722	58
6688	5966
6688	4846
6688	4689
6688	4688
6688	4332
6688	4046
6688	3689
6688	3688
6688	3684
6688	3674
6688	3563
6688	3557
6688	10148
6688	1441
6688	1438
6688	1435
6688	4261
6688	968
6688	695
6688	5244
6667	126208
6667	147807
6667	84450
6667	339487
6667	51341
6667	9925
6667	9278
6667	10897
6667	9589
6667	55737
6667	7422
6667	84669
6667	7342
6667	9898
6667	55815
6667	79042
6667	9322
6667	84231
6667	51330
6667	8797
6667	29100
6667	130612
6667	26277
6667	92609
6667	7040
6667	55852
6667	7008
6667	8463
6667	6892
6667	6886
6667	10492
6667	375757
6667	9515
6667	6811
6667	10734
6667	117178
6667	6427
6667	399473
6667	6676
6667	6667
6667	65124
6667	4088
6667	4087
6667	139065
6667	10991
6667	6494
6667	25942
6667	26470
6667	84193
6667	27244
6667	8482
6667	9919
6667	8578
6667	58506
6667	79595
6667	55095
6667	6261
6667	6257
6667	6238
6667	6237
6667	6189
6667	6095
6667	286140
6667	6048
6667	10287
6667	5970
6667	5966
6667	8045
6667	9770
6667	10235
6667	5899
6667	23637
6667	53916
6667	57799
6667	138428
6667	25930
6667	5754
6667	253143
6667	147011
6667	9374
6667	23082
6667	90673
6667	5509
6667	5495
6667	5460
6667	5333
6667	5292
6667	55650
6667	23239
6667	10424
